city,population
"CAMDEN,TN",8278
"DICKSON,TN",21189
"FOREST HILLS,TN",70216
"KINGSTON SPRINGS,TN",5512
"PEGRAM,TN",3423
"TRIMBLE,TN",701
"LIVINGSTON,TN",7328
"GREENFIELD,TN",2816
"RIDGELY,TN",1767
"WHITE BLUFF,TN",5633
"CARTHAGE,TN",5410
"SOUTH CARTHAGE,TN",5410
"WAVERLY,TN",6660
"KENTON,TN",2199
"MCEWEN,TN",5110
"LEBANON,TN",44113
"NASHVILLE,TN",327225
"BERRY HILL,TN",9258
"OAK HILL,TN",5889
"MOUNT JULIET,TN",40305
"GAINESBORO,TN",4587
"OBION,TN",1710
"SHARON,TN",1852
"GLEASON,TN",2261
"HENRY,TN",1436
"CHARLOTTE,TN",4605
"HORNBEAK,TN",1475
"TIPTONVILLE,TN",2377
"TROY,TN",3347
"BYRDSTOWN,TN",2871
"DRESDEN,TN",4684
"BIG SANDY,TN",2476
"VANLEER,TN",1127
"HENDERSONVILLE,TN",50478
"SAMBURG,TN",0
"ASHLAND CITY,TN",14315
"RIVES,TN",964
"HARTSVILLE,TN",5419
"MARTIN,TN",10359
"CELINA,TN",3107
"GOODLETTSVILLE,TN",24940
"MILLERSVILLE,TN",24301
"PARIS,TN",15360
"SLAYDEN,TN",0
"GALLATIN,TN",34739
"TN RIDGE,TN",1636
"ERIN,TN",3811
"UNION CITY,TN",13332
"COTTAGE GROVE,TN",805
"RED BOILING SPRINGS,TN",3646
"RIDGETOP,TN",0
"PLEASANT VIEW,TN",6155
"WOODLAND MILLS,TN",0
"LAFAYETTE,TN",10331
"GREENBRIER,TN",11103
"CUMBERLAND CITY,TN",1329
"WHITE HOUSE,TN",11999
"SOUTH FULTON,TN",3778
"PURYEAR,TN",2197
"WESTMORELAND,TN",7280
"SPRINGFIELD,TN",23898
"DOVER,TN",5399
"CROSS PLAINS,TN",2827
"PORTLAND,TN",18152
"CEDAR HILL,TN",3691
"ORLINDA,TN",918
"CLARKSVILLE,TN",117454
"MITCHELLVILLE,TN",0
"ADAMS,TN",3891
